symbol,date,close,adjusted_close,change,matched_volume,matched_value,agreement_volume,agreement_value,open,high,low
FPT,25/10/2017,49.7,13,+0.40 (+0.81%),768500,38.1,0,0,49.5,49.8,49.3
FPT,26/10/2017,49.6,12.97,-0.10 (-0.20%),1089860,53.82,0,0,49.8,49.9,49
FPT,27/10/2017,50.2,13.13,+0.60 (+1.21%),734980,36.45,0,0,49.4,50.2,49.15
FPT,30/10/2017,50,13.08,-0.20 (-0.40%),1707190,85.89,0,0,50.2,50.8,49.9
FPT,31/10/2017,50.4,13.18,+0.40 (+0.80%),1618160,81.94,0,0,50,51.4,49.6
FPT,02/11/2017,50.5,13.21,-0.30 (-0.59%),1244900,63.21,0,0,50.9,51.4,49.8
FPT,03/11/2017,51,13.34,+0.50 (+0.99%),1200390,60.27,0,0,50,51,49.4
FPT,06/11/2017,51.4,13.44,+0.40 (+0.78%),1608490,82.57,0,0,51.4,51.8,50.9
FPT,07/11/2017,51.2,13.39,-0.20 (-0.39%),1141790,58.55,0,0,51.5,51.5,50.9
FPT,08/11/2017,53,13.86,+1.80 (+3.52%),3385930,176.4,0,0,51.2,53,51
FPT,09/11/2017,52.6,13.76,-0.40 (-0.75%),1720600,91.08,0,0,53.4,53.5,52.4
FPT,10/11/2017,52.2,13.65,-0.40 (-0.76%),1369700,72.19,0,0,52.5,53.3,52.2
FPT,13/11/2017,54,14.12,+1.80 (+3.45%),4769280,256.64,0,0,52.2,54.8,51.9
FPT,14/11/2017,53.9,14.1,-0.10 (-0.19%),4332100,236.28,0,0,54.5,55.5,53.5
FPT,15/11/2017,56.9,14.88,+3.00 (+5.57%),4665890,259.87,0,0,56.9,57,54
FPT,16/11/2017,57,14.91,+0.10 (+0.18%),3733760,214.98,0,0,57.4,58.7,56.6
FPT,17/11/2017,56.7,14.83,-0.30 (-0.53%),3930560,222.2,0,0,57.3,57.3,55.9
FPT,20/11/2017,57.9,15.14,+1.20 (+2.12%),3802520,217.12,0,0,56.1,58,55.9
FPT,21/11/2017,57.2,14.96,-0.70 (-1.21%),3385720,196.42,0,0,58.2,58.8,57.2
FPT,22/11/2017,58,15.17,+0.80 (+1.40%),2596350,149.14,0,0,57,58,57
FPT,23/11/2017,57.6,15.06,-0.40 (-0.69%),3536130,205.22,0,0,58,58.8,57.2
FPT,24/11/2017,57.9,15.14,+0.30 (+0.52%),2370820,136.45,0,0,57.5,58,57
FPT,27/11/2017,58.2,15.22,+0.30 (+0.52%),2653980,156,0,0,58,59.7,58
FPT,28/11/2017,57.5,15.04,-0.70 (-1.20%),2292500,132.07,0,0,58,58.2,57.2
FPT,29/11/2017,59.3,15.51,+1.80 (+3.13%),3845300,225.84,0,0,58,59.7,57.4
FPT,30/11/2017,58.4,15.27,-0.90 (-1.52%),3002720,177.92,0,0,59.9,60,58.4
FPT,04/12/2017,58.8,15.38,+0.40 (+0.68%),2204370,129.36,0,0,58.5,59.1,58.3
FPT,05/12/2017,57.3,14.99,-1.50 (-2.55%),3558740,207.26,0,0,58.8,59.3,57.3
FPT,06/12/2017,56.8,14.85,-0.50 (-0.87%),3522030,199.48,0,0,57,57.3,56
FPT,07/12/2017,56.1,14.67,-0.70 (-1.23%),1655580,93.4,0,0,56.8,57.5,55.8
FPT,08/12/2017,55.5,14.51,-0.60 (-1.07%),1924190,107.16,0,0,56,56.5,55.1
FPT,11/12/2017,53.5,13.99,-2.00 (-3.60%),2736380,148.83,0,0,54.5,55.2,53.5
FPT,12/12/2017,53.7,14.04,+0.20 (+0.37%),3113980,165.78,0,0,54.1,54.7,50.8
FPT,13/12/2017,54.7,14.31,+1.00 (+1.86%),1625860,88.28,0,0,54.3,54.8,53.7
FPT,14/12/2017,55.9,14.62,+1.20 (+2.19%),1276430,70.57,0,0,54.5,55.9,54.5
FPT,15/12/2017,56.5,14.78,+0.60 (+1.07%),1611640,90.72,0,0,56,56.8,55.5
